YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,DATA_SOURCE_DESCRIPTION
2015,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,88682350,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2014,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,76936921,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2013,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,67850039,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2012,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,74583059,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2011,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,101745237,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2010,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,133957158,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2009,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,90129350,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2008,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,126909331,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2007,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,112164850,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2006,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,74541322,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2005,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,108621598,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2004,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,98822060,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2003,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,112735996,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2002,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,85859828,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2001,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,58483333,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2000,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,58133925,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1999,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,112116636,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1998,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,60913009,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1997,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,45319178,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1996,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,54656775,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1995,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,NA,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1993,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,98489241,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1992,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,73803258,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
1991,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,99186299,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Exvessel_Value_BBRKC_Fishery,"Ex-vessel value of BBRKC landings: Aggregate ex-vessel value of BBRKC landings (as adjusted by CFEC to account for post-season adjustments to ex-vessel settlements), summed over all exvessel sales reported.",Socioeconomic,Economic,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Annual red king crab ex-vessel value of the Bristol Bay red king crab fishery landings,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Value,22,NA,NA,NA,NA,NA,NA,NA
2021,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,176316.03,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2020,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,119213.09,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2019,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,217300.81,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2018,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,429780.69,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2017,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,178816.65,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2016,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,116593.28,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2015,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,195511.37,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2014,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,215863.38,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2013,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,124576.82,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2012,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,81374.89,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2011,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,91699.57,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2010,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,102941.22,AKFIN Comprehensive Fish Tickets Datamart,AKFIN,Annual_Red_King_Crab_Incidental_Catch_EBS_Fishery,BBRKC male bycatch biomass: Incidental bycatch biomass estimates of male BBRKC (tons) in trawl and fixed gear fisheries.,Socioeconomic,Fishery Performance,Brian Garber-Yonts,Annually,Y,Comma Separated File,N,Incidental catch biomass estimates of male Bristol Bay red king crab (tons) in trawl and fixed gear fisheries,Bristol Bay Red King Crab,2020,2020,NA,NA,1,1,Mt,20,NA,NA,NA,NA,NA,NA,NA
2022,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,3.191694728,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2021,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,2.73165676,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2020,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,NA,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2019,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,3.221896215,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2018,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,1.652677888,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2017,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,1.835385317,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2016,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,2.554451128,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
2015,Annual_Red_King_Crab_Recruit_Abundance_BBRKC_Survey,4.764691818,RACE Bottom Trawl Survey,AFSC RACEBASE,Annual_Red_King_Crab_Recruit_Biomass_BBRKC_Model,BBRKC recruit biomass (110-134 mm CL) was estimated from the EBS bottom trawl survey catch data.,Ecosystem,Upper Trophic,Jon Richar,Annually,N,Eastern Bering Sea,N,Annual red king crab recruit biomass (110-134 mm CL) in Bristol Bay from the AFSC eastern Bering Sea bottom trawl survey,Bristol Bay Red King Crab,2020,2020,NA,2022,1,1,# Crab (millions),12,NA,NA,NA,NA,NA,NA,NA
